code;name;cost_max;unit;current_stock;dpto_code;orden;cost_oferta;cost_mayor;cost_min
CA-02;CARBON PARA ARRANQUE DODGE CHRYSLER;0,000;PZA;0;AUTO.08;1;0,000;0,000;0,000
CA-03;CARBON ARRANQUE MODELO VIEJO FORD (4PZAS) (CAAU-FX30);14.373,000;SET;1;AUTO.08;1;0,000;0,000;0,000
CA-04;CARBON ALTERNADOR COUGAR/BRONCO/FALCON FORD (CAAU-FX39);1.383,000;PZA;0;AUTO.08;1;0,000;0,000;0,000
CA-05;CARBON ALTERNADOR BRONCO/COMET/ESCORT FORD;0,000;PZA;0;AUTO.08;1;0,000;0,000;0,000
CA-06;CARBON ARRANQUE MODELO NUEVO FORD (CAAU-F58);;PZA;1;AUTO.08;1;0,000;0,000;0,000
CA-07;CARBON ARRANQUE CADILLAC/CHEVETT/CAMARO CHEVROLET;7.764,000;PZA;0;AUTO.08;1;0,000;0,000;0,000
CA-08;CARBON PARA ARRANQUE BRONCO FORD;0,000;PZA;0;AUTO.08;1;0,000;0,000;0,000
CA-09;CARBON ARRANQUE CHEROKEE/MITSUBISHI/WRANGLER CHRYSLER;0,000;PZA;0;AUTO.08;1;0,000;0,000;0,000
CA-10;CARBON PARA ARRANQUE GRAND BLAZER CHEVROLET (CAAU-SG260);4.551,000;PZA;0;AUTO.08;1;0,000;0,000;0,000
CA-11;CARBON ARRANQUE BUICK/CADILLAC/CHEVETTE CHRYSLER;0,000;PZA;0;AUTO.08;1;0,000;0,000;0,000
CA-12;CARBON PARA ARRANQUE BLAZER CHEVROLET;0,000;PZA;0;AUTO.08;1;0,000;0,000;0,000
CA-13;CARBON ARRANQUE CELICA/COROLLA/HILUX TOYOTA ();10.427,000;PZA;9;AUTO.08;1;0,000;0,000;0,000
CA-14;CARBON PARA ALTERNADOR NIPPON DENSO TOYOTA;5.213,000;PZA;0;AUTO.08;1;0,000;0,000;0,000
CA-15;CARBON PARA ARRANQUE FENSA. BHC. CHEVETTE CHEVROLET ();8.075,000;PZA;10;AUTO.08;1;0,000;0,000;0,000
CA-16;CARBON PARA ARRANQUE CHILLON REDUCCION TOYOTA;0,000;PZA;0;AUTO.08;1;0,000;0,000;0,000
CA-17;CARBON ARRANQUE FUEGO/R30 RENAULT (CAAU-PSX133);2.679,000;PZA;0;AUTO.08;1;0,000;0,000;0,000
CA-18;CARBON PARA ARRANQUE NEON CORSA CHRYSLER CHEVROLET;0,000;PZA;0;AUTO.08;1;0,000;0,000;0,000
CA-19;MOSTRARIO DE CARBONES AUTOMOTRICES;0,000;PZA;0;AUTO.08;1;0,000;0,000;0,000
CA-20;CARBONES PARA ARRANQUE CHEROKEE CARBON GRUESO;0,000;PZA;0;AUTO.08;1;0,000;0,000;0,000
CA-21;960010 CARBONERA ARR. GM SPARK;0,000;PZA;0;AUTO.09;1;0,000;0,000;0,000
CA-22;SK-71 CARBON DODGE 17V;0,000;PZA;0;AUTO.08;1;0,000;0,000;0,000
CA-23;SX-74 CARBON DODGE T/N;0,000;PZA;0;AUTO.08;1;0,000;0,000;0,000
CAA1200130;CORREAS ACERO INOXIDABLE 1200x8.0 mm (48.0 In);75.000;PZA;0;FERR.04;1;0,000;0,000;0,000
CAA15080;CORREAS ACERO INOXIDABLE 150x8.0 mm (6 1/8 In);276.000;PZA;0;FERR.04;1;0,000;0,000;0,000
CAA15246;CORREAS ACERO INOXIDABLE 152x4.6 mm (6.0 In);528.000;PZA;0;FERR.04;1;0,000;107.000;0,000
CAA15537;CORREAS ACERO INOXIDABLE 155x3.7 mm (6.0 In);0,000;PZA;0;FERR.04;1;0,000;0,000;0,000
CAA16;"ABRAZADERA DE AUMINIO CON PROTECTOR DE GOMA 5/8""";0,000;PZA;0;FERR.05;1;0,000;0,000;0,000
CAA17546;CORREAS ACERO INOXIDABLE 175x4.6 mm (7.0 In);272.000;PZA;0;FERR.04;1;0,000;0,000;0,000
CAA17580;CORREAS ACERO INOXIDABLE 175x8.0 mm (7.0 In);388.000;PZA;657;FERR.04;1;0,000;187.000;0,000
CAA200130;CORREAS ACERO INOXIDABLE 200x13.0 mm (8.0 In);404.000;PZA;0;FERR.04;1;0,000;0,000;0,000
CAA240130;CORREAS ACERO INOXIDABLE 240x13.0 mm (9 7/16 In);588.000;PZA;0;FERR.04;1;0,000;0,000;0,000
CAA24080;CORREAS ACERO INOXIDABLE 240x8.0 mm (9 7/16 In);312.000;PZA;0;FERR.04;1;0,000;0,000;0,000
CAA25;"ABRAZADERA DE ALUMINIO CON PROTECTOR DE GOMA 1""";0,000;PZA;0;FERR.05;1;0,000;0,000;0,000
CAA26646;CORREAS ACERO INOXIDABLE 266x4.6 mm (10 1/2 In);209.000;PZA;2190;FERR.04;1;0,000;187.000;
CAA300130;CORREAS ACERO INOXIDABLE 300x13.0 mm (11 5/8 In);588.000;PZA;674;FERR.04;1;0,000;333.000;0,000
CAA30046;CORREAS ACERO INOXIDABLE 300x4.6 mm (11 5/8 In);;PZA;280;FERR.04;1;0,000;;0,000
CAA30080;CORREAS ACERO INOXIDABLE 300x7.9MM CIERRE FACIL TRIPOIDE PEQ;467.000;PZA;1156;FERR.04;1;0,000;;228.000
CAA350130;CORREAS ACERO INOXIDABLE 350x13.0 mm (14.0 In);859.000;PZA;38;FERR.04;1;0,000;373.000;0,000
CAA35080;CORRE ACERO INOXIDABLE 350x8.0 mm (14.0 In);423.000;PZA;0;FERR.04;1;0,000;0,000;0,000
CAA36246;CORREAS ACERO INOXIDABLE 362x4.6 mm (14.0 In);;PZA;136;FERR.04;1;0,000;;0,000
CAA36279;CORREAS ACERO INOXIDABLE 362x7.9 mm (14.0 In);404.000;PZA;0;FERR.04;1;0,000;0,000;0,000
CAA400130;CORREAS ACERO INOXIDABLE 400x13.0 mm (15 3/ 4 In);707.000;PZA;0;FERR.04;1;0,000;0,000;0,000
CAA40046;CORREAS ACERO INOXIDABLE 400x4.6 mm (15 3/4 In);257.000;PZA;0;FERR.04;1;0,000;0,000;0,000
CAA40080;CORREAS ACERO INOXIDABLE 400x8.0 mm (15 3/4 In);423.000;PZA;0;FERR.04;1;0,000;0,000;0,000
CAA45079;CORREAS ACERO INOXIDABLE 450x7.9MM CIERRE FACIL TRIPOIDE GDE;507.000;PZA;1428;FERR.04;1;0,000;384.000;261.000
CAE160WLN;AMARRACABLE 160MM*6MM NEGRO C/SUJECION REUSABLE;299.000;PZA;-10;FERR.03;1;0,000;0,000;0,000
CAN08025N;"AA01-AMARRACABLE 3""80MM X2.5 MM NEGRA";0,000;PZA;0;FERR.03;110;0,000;0,000;0,000
CAN10025;CORREA TIRRAP AMARRACABLE (4 IN) 100*2.5MM BLANCO;16.000;PZA;125900;FERR.03;120;0,000;6.000;4.000
CAN10025A;AA03-AMARRACABLES 100X2.5MM (4.0 IN) AMARILLO;0,000;PZA;0;FERR.03;120;0,000;0,000;0,000
CAN10025B;AA04-AMARRACABLES 100X2.5MM (4.0 IN) AZUL;0,000;PZA;0;FERR.03;120;0,000;0,000;0,000
CAN10025N;CORREA TIRRAP AMARRACABLE (4 IN) 100*2.5MM NEGRO;16.000;PZA;38400;FERR.03;120;0,000;6.000;4.000
