code;name;cost_max;unit;current_stock;dpto_code;orden;cost_oferta;cost_mayor;cost_min
GA004-024;CONECTOR HEMBRA SENSOR DE OXIGENO HYUNDAI TUCSON GETS ELENTRA;2.89;PZA;187;AUTO.06;1;0;0;0
GA004-025;CONECTOR VALVULA GM 4 PINES 65A-F1R (4);3.58;PZA;0;AUTO.06;1;0;0;0
GA004-026;CONECTOR ALT NIPPONDENSO 4 SQ-432 (4);3.15;PZA;7;AUTO.06;1;0;0;0
GA004-027;SOCARE LUZ CRUCE TOYOTA C SQ-1126 (4);1.73;PZA;0;AUTO.06;1;0;0;0
GA004-028;SOCATE FARO LUZ TOYOTA A SQ1067 (4);1.75;PZA;0;AUTO.06;1;0;0;0
GA004-029;CONECTOR BOBINA FORD FORTALEZA EXPLORER F150;3.72;PZA;5;AUTO.06;1;0;0;0
GA004-03;CONECTOR REGULADOR MERCURIO G.M.;0;PZA;0;AUTO.06;1;0;0;0
GA004-030;CONECTOR RELAY MINI 4 PATAS SQ-642 (4);1.63;PZA;10;AUTO.06;1;0;0;0
GA004-031;CONECTOR RELAY 4 PATAS INVERTI SQ-1985 (4);1.73;PZA;0;AUTO.06;1;0;0;0
GA004-032;CONECTOR ALT MITS LANCER7CHER SQ-2441 (4);2;PZA;6;AUTO.06;1;0;0;0
GA004-033;CONECTOR ALT HONDA HYLLUX VIGO SQ-481 (4);1.92;PZA;2;AUTO.06;1;0;0;0
GA004-04;CONECTOR SENSOR IAC G.M. 88/ON;0;PZA;0;AUTO.06;1;0;0;0
GA004-05;CONECTOR MODULO G.M. ES-97. BOBINA CORSA. LANOS. BOMBA GAS. IAC;2.01;PZA;191;AUTO.06;1;0;1.73;0
GA004-06;CONECTOR ADAPTADOR/ ALTERNADOR NIPPON 4/ CONTACTOS REDONDOS;0;PZA;0;AUTO.06;1;0;0;0
GA004-07;CONECTOR BOMBA GAS INTERNA BLAZER CAVALIER;4.549;PZA;5;AUTO.06;1;0;0;0
GA004-08;CONECTOR SENSOR OPTICO MATIZ/FIESTA BOBINA RAYADA;2.766;PZA;0;AUTO.06;1;0;0;0
GA004-09;CONECTOR BOMBA GASOLINA INTERNA/EXTERNA CHRYSLER DODGE;2.808;PZA;50;AUTO.06;1;0;0;0
GA004-11;CONECTOR BOBINA LISA DE CORSA 4 PINES;1.96;PZA;134;AUTO.06;1;0;1.73;0
GA004-12;CONECTOR SENSOR TPS CORSA/BLAZER/DAEWOO;1.39;PZA;165;AUTO.06;1;0;0;0
GA004-13;CONECTOR VALVULA DE ACEITE CHEVROLET AVEO / OPTRA;4.9;PZA;0;AUTO.06;1;0;0;0
GA004-14;CONECTOR SENSOR TEMPERATURA FIAT/PALIO/FIRE 1.8;4.332;PZA;0;AUTO.06;1;0;0;0
GA004-15;CONECTOR BOMBA GASOLINA CHEVROLT BLAZER;3.553;PZA;15;AUTO.06;1;0;0;0
