id;code;name;dpto_code;unit;current_stock;cost_max;photo_url;dpto_id;show;orden;cost_oferta;cost_mayor;cost_min;checked
4401;GA002-82;CONECTOR INYECTOR CHEV CAVALIER Y FORD FIESTA (43-211);AUTO.90;PZA;73;0.92;GA002-82.jpg;96;t;1;0;0.76;0;f
4402;GA002-84;SOCATE PARA BOMBILLO 73 TABLERO S/CABLE (SOC-52056);AUTO.90;PZA;0;0.72;GA002-84.jpg;96;t;1;0;0;0;f
4403;GA003-01;CONECTOR BOBINA CAPTADORA;AUTO.90;PZA;0;1.373;GA003-01.jpg;96;t;1;0;0;0;f
4404;GA003-02;SOCATE PLANO DE GENERAL MOTOR 2 CONTACTO;AUTO.90;PZA;4;2.973;GA003-02.jpg;96;t;1;0;0;0;f
4405;GA003-03;CONECTOR CAMBIO DE LUZ DS5 FORD COUGA;AUTO.90;PZA;1;1.188;GA003-03.jpg;96;t;1;0;0;0;f
4406;GA003-04;CONECTOR CAMBIO DE LUZ DS7 G.M. MACK;AUTO.90;PZA;0;5.559;GA003-04.jpg;96;t;1;0;0;0;f
4407;GA003-042;CONECTOR SENSOR HYUNDAI 3 PINES F1-83A F1R (3);AUTO.90;PZA;10;2.733;GA003-042.jpg;96;t;1;0;0;0;f
4408;GA003-043;SOCATE METAL UNIVERSAL 2 CONTA F1R-1225 (3);AUTO.90;PZA;10;1.227;GA003-043.jpg;96;t;1;0;0;0;f
4409;GA003-044;SOCATE STOP BOMBILLO 3157 2CONTACTOS 3 CABLES;AUTO.90;PZA;0;4.293;GA003-044.jpg;96;t;1;0;0;0;f
4410;GA003-045;CONECTOR REDONDO 3 CABLES NPR SQ-12191 (3);AUTO.90;PZA;0;2.307;GA003-045.jpg;96;t;1;0;0;0;f
4411;GA003-046;CONECTOR METAL UNIVERSAL 2 CONTACTO F1R-999 (3);AUTO.90;PZA;5;1.693;GA003-046.jpg;96;t;1;0;0;0;f
4412;GA003-047;CONECTOR SENSOR TPSCARBURADOR SQ-312 (3);AUTO.90;PZA;5;2.173;GA003-047.jpg;96;t;1;0;0;0;f
4413;GA003-048;CONECTOR BOMBINA GM AVEO OPTRA SQ-911 (3);AUTO.90;PZA;33;2.187;GA003-048.jpg;96;t;1;0;1.467;0;f
4414;GA003-049;SOCATE STOP BOMBILLO 7443 DOBLE;AUTO.90;PZA;15;1.533;GA003-049.jpg;96;t;1;0;0;0;f
4415;GA003-05;SOCATE G.M. PARA BOMBILLO 1034;AUTO.90;PZA;10;1.987;GA003-05.jpg;96;t;1;0;0;0;f
4416;GA003-050;SOCATE METAL DOBLE BOMBILLO 1034 2 CONTACTOS C/CONECTOR;AUTO.90;PZA;5;2.947;GA003-050.jpg;96;t;1;0;0;0;f
4417;GA003-051;CONECTOR SENSOR CIGUENAL LEVA / BOBINA NEON;AUTO.90;PZA;0;5.573;GA003-051.jpg;96;t;1;0;0;0;f
4418;GA003-052;SOCATE METAL BOMBILLO 1034 DE 2 CONTACTO C/CONECTOR;AUTO.90;PZA;5;1.947;GA003-052.jpg;96;t;1;0;0;0;f
4419;GA003-053;CONECTOR 3 VIAS VALVULA IAC GM DAEWOO SENSOR TPS FIAT UNO;AUTO.90;PZA;85;1.667;GA003-053.jpg;96;t;1;0;1.467;0;f
4420;GA003-054;CONECTOR SENSOR 3 VIAS CIGUEÑAL AUDI A4 A3 A6 SEAT IBIZA CORDOBA LEON;AUTO.90;PZA;150;2.173;GA003-054.jpg;96;t;1;0;1.92;0;f
4421;GA003-055;CONECTOR PORTA BOMBILLO 9008/H13 PLASTICO;AUTO.90;PZA;0;4.417;GA003-055.jpg;96;t;1;0;0;0;f
