code;name;cost_max;unit;current_stock;dpto_code;orden;cost_oferta;cost_mayor;cost_min
SA15Z375;"TERMINAL ANILLO 3/8"" AWG 2/0 SQ70 SIN AISLAR ESTAÑADO";3.379;PZA;505;FERR.25;1;0;0;0
SA15Z500;"TERMINAL ANILLO 1/2"" AWG 2/0 SQ70 SIN AISLAR ESTAÑADO";1.62;PZA;0;FERR.25;1;0;0;0
SA16Z375;"TERMINAL ANILLO 3/8"" AWG 3/0 SQ80 SIN AISLAR ESTAÑADO";2.997;PZA;0;FERR.25;1;0;0;0
SA16Z500;"TERMINAL ANILLO 1/2"" AWG 3/0 SQ80 SIN ASILAR ESTAÑADO";2.645;PZA;337;FERR.25;1;0;0;0
SA16Z625;"TERMINAL ANILLO 5/8"" AWG 3/0 SQ80 SIN AISLAR ESTAÑADO";1.849;PZA;359;FERR.25;1;0;0;0
SA17Z375;"TERMINAL ANILLO 3/8"" AWG 4/0 SQ100 SIN AISLAR ESTAÑADO";5.785;PZA;0;FERR.25;1;0;0;0
SA17Z500;"TERMINAL ANILLO 1/2"" AWG 4/0 SQ100 SIN AISLAR ESTAÑADO";8.4;PZA;4;FERR.25;1;0;0;0
SA17Z625;TERMINAL ANILLO 5/8 AWG 4/0 SQ100 SIN AISLAR ESTAÑADO;4.056;PZA;0;FERR.25;1;0;0;0
SA17Z750;"TERMINAL ANILLO 3/4"" AWG 4/0 SQ100 SIN AISLAR ESTAÑADO";0;PZA;0;FERR.25;1;0;0;0
SC05Z017;CONECTOR TOPE AWG 22-16 SIN AISLAMIENTO;0.2;PZA;0;FERR.27;1;0;0.195;0.04
SC08Z017;CONECTOR TOPE AWG 16-14 SIN AISLAMIENTO;0.336;PZA;-16;FERR.27;1;0;0.195;0.053
SC09Z017;CONECTOR TOPE AWG 12-10 SIN AISLAMIENTO;0.439;PZA;0;FERR.27;1;0;0.255;0.08
SC10Z023;CONECTOR TOPE AWG 8 SIN AISLAMIENTO;0.711;PZA;19311;FERR.27;1;0;0.435;0.352
SC11Z028;CONECTOR TOPE AWG 6 SIN AISLAMIENTO;1.2;PZA;4161;FERR.27;1;0;1.171;0.513
SC12Z031;CONECTOR TOPE AWG 4 SIN AISLAMIENTO;1.867;PZA;4827;FERR.27;1;0;1.74;0.608
SC13Z034;CONECTOR TOPE AWG 2 SIN AISLAMIENTO;2.267;PZA;10;FERR.27;1;0;2.235;1.051
SC14Z036;CONECTOR TOPE AWG 1/0 SIN AISLAMIENTO;3.467;PZA;792;FERR.27;1;0;3.091;1.987
SC15Z038;CONECTOR TOPE AWG 2/0 SIN AISLAMIENTO;4.237;PZA;0;FERR.27;1;0;3.66;2.187
SC16Z040;CONECTOR TOPE AWG 3/0 SIN AISLAMIENTO;5.219;PZA;122;FERR.27;1;0;4.351;2.693
SC17Z040;CONECTOR TOPE AWG 4/0 SIN AISLAMIENTO;6.252;PZA;90;FERR.27;1;0;5.145;3.227
SC18Z040;CONECTOR TOPE AWG 250 SIN AISLAMIENTO;9.016;PZA;5;FERR.27;1;0;6.975;0
SC19Z100;***SC22Z999CONECTOR TOPE AWG 350 MCM SIN AISLAMIENTO;0;PZA;0;FERR.27;1;0;0;0
SC20Z100;CONECTOR TOPE AWG 300 MCM SIN AISLAMIENTO;11.173;PZA;0;FERR.27;1;0;8.595;0
SC22Z999;CONECTOR TOPE AWG 350 MCM SIN AISLAMIENTO;13.149;PZA;38;FERR.27;1;0;7.635;0
SC24Z090;CONECTOR TOPE AWG 500 MCM SIN AISLAMIENTO;21.055;PZA;0;FERR.27;1;0;18.945;14.667
SC25Z100;CONECTOR TOPE AWG 1000 MCM SIN AISLAR;60;PZA;83;FERR.27;1;0;52.185;24
SD09Z008;CONECTOR PARALELO AWG 12-10 SIN AISLAMI;0;PZA;0;FERR.27;1;0;0;0
SD09Z012;CONECTOR PARALELO AWG 8 SIN AISLAMIENTO;0;PZA;0;FERR.27;1;0;0;0
SD12Z012;CONECTOR PARALELO AWG 4 SIN AISLAMIENTO;0.352;PZA;1899;FERR.27;1;0;0.196;0
SE17Z500;"ANILLO TUBULAR 2 HUECOS 1/2"" AWG 4/0 SQ100 ALUMINIO";0;PZA;0;FERR.99;1;0;0;0
SF10Z250;"ANILLO TUBULAR 45º 1/4"" AWG 8";0;PZA;0;FERR.99;1;0;0;0
SF10Z312;"ANILLO TUBULAR 45º 5/16"" AWG 8";0;PZA;0;FERR.99;1;0;0;0
SF11Z250;"ANILLO TUBULAR 45º 1/4"" AWG 6";0;PZA;0;FERR.99;1;0;0;0
SF11Z312;"ANILLO TUBULAR 45º 5/16"" AWG 6";0;PZA;0;FERR.99;1;0;0;0
SF12Z312;"ANILLO TUBULAR 45º 5/16"" AWG 4";0;PZA;0;FERR.99;1;0;0;0
SF12Z375;"ANILLO TUBULAR 45º 3/8"" AWG 4";0;PZA;0;FERR.99;1;0;0;0
SF13Z312;"ANILLO TUBULAR 45º 5/16"" AWG 2";0;PZA;0;FERR.99;1;0;0;0
SF13Z375;"ANILLO TUBULAR 45º 3/8"" AWG 2";0;PZA;0;FERR.99;1;0;0;0
SF14Z375;"ANILLO TUBULAR 45º 3/8"" AWG 1/0";0;PZA;0;FERR.99;1;0;0;0
